Date,mpshock_sum,mpshock,ff,logip,lopcpi,logwcp,unemps
6/1/1996,0.083138701,0,5.27,4.352429169,5.054333149,4.616703,5.3
7/1/1996,0.079337461,-0.00380124,5.4,4.351131765,5.056245805,4.585274,5.5
8/1/1996,0.080836403,0.001498942,5.22,4.356913934,5.05751888,4.587006,5.1
9/1/1996,0.096165421,0.015329018,5.3,4.363776102,5.060694494,4.569543,5.2
10/1/1996,0.096165421,0,5.24,4.363181424,5.063860055,4.545632,5.2
11/1/1996,0.168769476,0.072604055,5.31,4.371971248,5.067015628,4.55724,5.4
12/1/1996,0.195349988,0.026580512,5.29,4.378448993,5.069532935,4.543827,5.4
1/1/1997,0.195349988,0,5.25,4.379865551,5.071416766,4.172196512,5.3
2/1/1997,0.226057344,0.030707356,5.19,4.391890328,5.073297055,4.129371568,5.2
3/1/1997,0.326279669,0.100222325,5.39,4.398564133,5.073923033,4.119834661,5.2
4/1/1997,0.326279669,0,5.51,4.39879894,5.07454862,4.089955062,5.1
5/1/1997,0.428654433,0.102374764,5.5,4.40463537,5.07454862,4.12214444,4.9
6/1/1997,0.428654433,0,5.56,4.409501957,5.076423035,4.071123903,5
7/1/1997,0.400682217,-0.027972216,5.52,4.417100541,5.077670695,4.067091997,4.9
8/1/1997,0.51864023,0.117958012,5.54,4.42749462,5.080161357,4.072316195,4.8
9/1/1997,0.404599614,-0.114040616,5.54,4.436338431,5.08264583,4.063106764,4.9
10/1/1997,0.404599614,0,5.5,4.444905185,5.084505143,4.076886152,4.7
11/1/1997,0.363057956,-0.041541658,5.52,4.453645888,5.085742767,4.058795955,4.6
12/1/1997,0.369306136,0.00624818,5.5,4.456724701,5.086361005,3.998886783,4.7
1/1/1998,0.369306136,0,5.56,4.46184701,5.087596335,3.934546404,4.6
2/1/1998,0.384378772,0.015072636,5.51,4.463159517,5.087596335,3.924408859,4.6
3/1/1998,0.357068603,-0.027310169,5.49,4.463834706,5.087596335,3.901483716,4.7
4/1/1998,0.357068603,0,5.45,4.467528644,5.088830142,3.908491664,4.3
5/1/1998,0.315220925,-0.041847678,5.49,4.473867166,5.091293197,3.917304753,4.4
6/1/1998,0.315220925,0,5.56,4.467573398,5.092522454,3.872971154,4.5
7/1/1998,0.35761798,0.042397055,5.54,4.46409383,5.094976443,3.858484073,4.5
8/1/1998,0.415820571,0.058202592,5.55,4.4844106,5.096201182,3.829940834,4.5
9/1/1998,0.190101187,-0.225719385,5.51,4.482454379,5.09681299,3.850909815,4.6
10/1/1998,0.190101187,0,5.07,4.490518866,5.099256486,3.827550695,4.5
11/1/1998,0.033659471,-0.156441716,4.83,4.489869317,5.100475998,3.796686337,4.4
12/1/1998,-0.105494349,-0.13915382,4.68,4.493575836,5.102302483,3.744696066,4.4
1/1/1999,-0.105494349,0,4.63,4.498246227,5.104125637,3.76991803,4.3
2/1/1999,-0.174541247,-0.069046898,4.76,4.503564833,5.104125637,3.737134924,4.4
